first_name,last_name,email,location,visited_date
James,Butt,jbutt@ranos.io,Orleans,12/11/2021
Josephine,Darakjy,josephine_darakjy@ranos.io,Livingston,5/11/2021
Art,Venere,art@ranos.io,Gloucester,8/11/2021
Lenna,Paprocki,lpaprocki@ranos.io,Anchorage,12/11/2021
Donette,Foller,donette.foller@ranos.io,Butler,8/11/2021
Mitsue,Tollner,mitsue_tollner@ranos.io,Cook,9/11/2021
Leota,Dilliard,leota@ranos.io,Santa Clara,12/11/2021
Kris,Marrier,kris@ranos.io,Baltimore City,12/11/2021
Minna,Amigon,minna_amigon@ranos.io,Montgomery,12/11/2021
Abel,Maclead,amaclead@ranos.io,Suffolk,1/11/2021
Cammy,Albares,calbares@ranos.io,Webb,9/11/2021
Meaghan,Garufi,meaghan@ranos.io,Warren,10/11/2021
Fletcher,Flosi,fletcher.flosi@ranos.io,Winnebago,8/11/2021
Willard,Kolmetz,willard@ranos.io,Dallas,5/11/2021
Willow,Kusko,wkusko@ranos.io,New York,12/11/2021
Alishia,Sergi,asergi@ranos.io,New York,9/11/2021
Jose,Stockham,jose@ranos.io,New York,9/11/2021
Valentine,Gillian,valentine_gillian@ranos.io,Bexar,12/11/2021
Kati,Rulapaugh,kati.rulapaugh@ranos.io,Dickinson,5/11/2021
Lenna,Paprocki,lpaprocki@ranos.io,Anchorage,12/11/2021
Cammy,Albares,calbares@ranos.io,Webb,9/11/2021
Josephine,Darakjy,josephine_darakjy@ranos.io,Livingston,5/11/2021
Art,Venere,art@ranos.io,Gloucester,8/11/2021
Willow,Kusko,wkusko@ranos.io,New York,10/11/2021
Lenna,Paprocki,lpaprocki@ranos.io,Anchorage,10/10/2021
Donette,Foller,donette.foller@ranos.io,Butler,8/11/2021
Josephine,Darakjy,josephine_darakjy@ranos.io,Livingston,5/10/2021
Willow,Kusko,wkusko@ranos.io,New York,12/11/2021
James,Butt,jbutt@ranos.io,Orleans,10/11/2021
Kris,Marrier,kris@ranos.io,Baltimore City,12/11/2021
Meaghan,Garufi,meaghan@ranos.io,Warren,10/11/2021
James,Butt,jbutt@ranos.io,New York,12/11/2021
Fletcher,Flosi,fletcher.flosi@ranos.io,Winnebago,8/11/2021
Willow,Kusko,wkusko@ranos.io,Baltimore City,12/11/2021
